Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS24885	-1.61827	0.00000	-0.74684	0.14818	-2.36511	0.00000	FAD-binding protein	Amino Acid metabolis and transport
sps_RS18575	1.15827	0.11369	0.96010	0.40225	2.11837	0.00063	flagellar type III secretion system protein FliQ	Cell motility
sps_RS08785	-1.96468	0.00003	-1.19906	0.04993	-3.16374	0.00000	acetyl-CoA C-acyltransferase FadI	Lipid metabolism
sps_RS11685	2.58892	0.00000	-0.64506	0.11203	1.94386	0.00000	rRNA (guanine-N1)-methyltransferase	Cell motility
sps_RS19515	-1.56572	0.00730	-2.08513	0.00039	-3.65084	0.00000	OHCU decarboxylase	Function Unknown
sps_RS19520	-1.33589	0.02537	-2.22246	0.00007	-3.55835	0.00000	allantoinase PuuE	Carbohydrate metabolism and transport
sps_RS10360	0.20223	0.76461	2.83343	0.00000	3.03566	0.00000	dipeptide epimerase	Cell wall/membrane/envelop biogenesis
sps_RS08535	-0.63016	0.19522	-1.93432	0.00000	-2.56448	0.00000	disulfide bond formation protein B	Post-translational modification, protein turnover, chaperone functions
sps_RS08020	2.31964	0.00000	0.70858	0.52248	3.02822	0.00000	efflux RND transporter periplasmic adaptor subunit	Cell wall/membrane/envelop biogenesis
sps_RS03450	-1.69848	0.00000	-0.09302	0.93495	-1.79150	0.00000	sarcosine oxidase subunit gamma family protein	Amino Acid metabolis and transport
sps_RS13735	-0.43233	0.47875	3.52507	0.00000	3.09274	0.00000	uroporphyrinogen-III C-methyltransferase	Coenzyme metabolism
sps_RS00715	-1.81307	0.00000	-0.78992	0.20878	-2.60299	0.00000	glycine C-acetyltransferase	Coenzyme metabolism
sps_RS07860	0.10791	0.83145	1.94448	0.00000	2.05239	0.00000	biotin synthase BioB	Coenzyme metabolism
sps_RS18645	1.26400	0.00001	0.55845	0.20689	1.82244	0.00000	PAS domain-containing protein	Signal Transduction
sps_RS13470	2.27682	0.00000	1.17218	0.00060	3.44900	0.00000	cytochrome d terminal oxidase subunit 1	Energy production and conversion
sps_RS07000	1.70694	0.00000	0.10842	0.92521	1.81536	0.00000	mechanosensitive ion channel protein MscS	Cell wall/membrane/envelop biogenesis
sps_RS03030	-1.71649	0.00563	-1.95302	0.00241	-3.66951	0.00000	SpoVR family protein	Function Unknown
sps_RS21295	-1.32571	0.00017	-0.86942	0.06145	-2.19513	0.00000	DUF2804 domain-containing protein	Function Unknown
sps_RS23410	-1.93468	0.00000	-0.55581	0.54996	-2.49049	0.00000	patatin	Function Unknown
sps_RS07710	-1.82423	0.00000	-0.21366	0.88699	-2.03788	0.00000	histidine triad nucleotide-binding protein	Nucleotide metabolism and transport
sps_RS13475	1.31948	0.00453	1.03082	0.07137	2.35030	0.00000	cytochrome d ubiquinol oxidase subunit II	Energy production and conversion
sps_RS18595	1.09952	0.00009	0.58830	0.13745	1.68782	0.00000	flagellar motor switch protein FliM	Cell motility
sps_RS05125	1.01930	0.06733	-4.02032	0.00000	-3.00103	0.00000	type VI secretion system tip protein VgrG	Cell wall/membrane/envelop biogenesis
sps_RS01075	0.36947	0.68416	2.39051	0.00006	2.75999	0.00000	hypothetical protein	Energy production and conversion
sps_RS09310	2.96684	0.00000	-0.85059	0.46571	2.11625	0.00030	cytochrome C	Energy production and conversion
sps_RS08515	-2.06990	0.00000	0.18036	0.90224	-1.88953	0.00000	N-acetyltransferase	Translation
sps_RS27100	-1.71294	0.00000	0.07287	0.94931	-1.64007	0.00000	N-acetyltransferase	Translation
sps_RS10145	0.43626	0.22987	1.24232	0.00002	1.67858	0.00000	thiol peroxidase	Post-translational modification, protein turnover, chaperone functions
sps_RS09300	3.08365	0.00000	-0.79723	0.59910	2.28641	0.00035	cystathionine beta-synthase	Energy production and conversion
sps_RS18515	1.46211	0.00000	0.23006	0.82715	1.69217	0.00000	hypothetical protein	NA
sps_RS26685	-2.85621	0.00000	0.08785	0.96646	-2.76836	0.00000	N-acetyl-gamma-glutamyl-phosphate reductase	Amino Acid metabolis and transport
sps_RS00895	0.96958	0.00055	2.41709	0.00000	3.38667	0.00000	putative sulfate exporter family transporter	Function Unknown
sps_RS09560	2.88753	0.00000	0.76950	0.14117	3.65703	0.00000	AzlD domain-containing protein	Function Unknown
sps_RS08910	-2.49469	0.00000	0.57300	0.34228	-1.92169	0.00000	anaerobic ribonucleoside-triphosphate reductase	Nucleotide metabolism and transport
sps_RS03040	-0.89993	0.26301	-2.70113	0.00003	-3.60106	0.00000	PrkA family serine protein kinase	Signal Transduction
sps_RS10355	0.04377	0.96756	3.21607	0.00000	3.25983	0.00000	DUF1611 domain-containing protein	Function Unknown
sps_RS09540	0.93371	0.01510	1.36952	0.00009	2.30323	0.00000	hypothetical protein	Function Unknown
sps_RS14130	-2.07521	0.00084	-1.55960	0.08021	-3.63481	0.00000	sorbose reductase	Inorganic ion transport and metabolism
sps_RS05725	1.63147	0.00001	0.81898	0.08921	2.45045	0.00000	hypothetical protein	Function Unknown
sps_RS16300	-1.41866	0.00000	-0.25166	0.81588	-1.67032	0.00000	GTP cyclohydrolase I FolE	Coenzyme metabolism
sps_RS18490	0.88289	0.02717	1.04561	0.00681	1.92850	0.00000	flagellar biosynthesis protein FlhB	Function Unknown
sps_RS18865	-1.36277	0.00157	-0.95619	0.09446	-2.31896	0.00000	IMP dehydrogenase	Nucleotide metabolism and transport
sps_RS01100	1.63207	0.04598	2.88665	0.00001	4.51872	0.00000	hypothetical protein	Function Unknown
sps_RS26885	0.92739	0.03009	1.36172	0.00090	2.28911	0.00000	hypothetical protein	Function Unknown
sps_RS18650	1.00727	0.00005	0.36114	0.47549	1.36841	0.00000	sigma-54-dependent Fis family transcriptional regulator	Transcription
sps_RS06080	2.31069	0.00000	0.33095	0.84024	2.64165	0.00000	hypothetical protein	Function Unknown
sps_RS14330	1.43481	0.00190	1.08286	0.05695	2.51767	0.00000	hypothetical protein	Function Unknown
sps_RS03035	-1.83864	0.01078	-1.79610	0.02848	-3.63474	0.00000	hypothetical protein	Function Unknown
sps_RS12805	-1.14189	0.00099	-0.68520	0.18122	-1.82709	0.00000	hypothetical protein	Function Unknown
sps_RS18780	1.86137	0.00000	0.46749	0.67074	2.32886	0.00000	flagellar biosynthesis protein FlgT	Function Unknown
sps_RS10070	2.52292	0.00000	-0.82273	0.02851	1.70018	0.00000	protease	Function Unknown
sps_RS18600	1.11031	0.00376	0.80716	0.09962	1.91747	0.00000	flagellar basal body-associated protein FliL	Cell motility
sps_RS03275	1.68781	0.00000	0.07805	0.95455	1.76587	0.00000	hypothetical protein	Function Unknown
sps_RS13420	-1.64626	0.00006	-0.51181	0.61543	-2.15808	0.00000	NINE protein	Function Unknown
sps_RS15350	-0.86050	0.18666	-1.88138	0.00093	-2.74188	0.00000	efflux RND transporter periplasmic adaptor subunit	Cell wall/membrane/envelop biogenesis
sps_RS12850	-1.78364	0.00001	-0.34804	0.82447	-2.13168	0.00000	CBS domain-containing protein	Function Unknown
sps_RS19255	-1.86347	0.00453	-1.34927	0.12506	-3.21273	0.00000	acyl-CoA dehydrogenase	Lipid metabolism
sps_RS08025	1.98525	0.00062	0.55685	0.74587	2.54210	0.00000	AcrB/AcrD/AcrF family protein	Function Unknown
sps_RS19500	-0.97649	0.02285	-1.02223	0.03363	-1.99872	0.00000	malate synthase A	Energy production and conversion
sps_RS04040	-1.72633	0.00473	-1.22808	0.13745	-2.95441	0.00000	acyl-CoA dehydrogenase	Lipid metabolism
sps_RS23405	-1.78290	0.00050	-0.77702	0.43395	-2.55992	0.00000	hypothetical protein	Function Unknown
sps_RS15070	2.29324	0.00000	-0.19445	0.92001	2.09879	0.00000	type I secretion system permease/ATPase	Function Unknown
sps_RS10020	-1.16347	0.00000	-0.09221	0.92900	-1.25567	0.00000	S9 family peptidase	Amino Acid metabolis and transport
sps_RS01975	-0.99651	0.00480	-0.69294	0.16253	-1.68944	0.00000	c-type cytochrome biogenesis protein CcmI	Post-translational modification, protein turnover, chaperone functions
sps_RS02600	-1.07536	0.02951	-1.16708	0.03398	-2.24244	0.00000	glycoside hydrolase	Carbohydrate metabolism and transport
sps_RS09565	1.84941	0.02931	1.14829	0.43713	2.99770	0.00007	NIPSNAP family protein	Function Unknown
sps_RS04390	-2.36457	0.00000	0.14463	0.93574	-2.21993	0.00000	N-acetyltransferase	Function Unknown
sps_RS20505	2.51783	0.00001	-0.42141	0.84565	2.09642	0.00037	DUF3019 domain-containing protein	Function Unknown
sps_RS21780	0.24707	0.80558	1.78683	0.00668	2.03390	0.00043	tripartite tricarboxylate transporter substrate binding protein	Function Unknown
sps_RS08005	-1.38393	0.00179	-0.73003	0.32725	-2.11396	0.00000	citrate synthase	Energy production and conversion
sps_RS14275	-1.00085	0.00016	-0.29224	0.69465	-1.29309	0.00000	glutathione synthase	Coenzyme metabolism
sps_RS13465	1.35120	0.07145	0.87963	0.53909	2.23083	0.00066	DoxX family protein	Function Unknown
sps_RS10575	1.71295	0.10844	1.04982	0.64584	2.76277	0.00295	DUF3192 domain-containing protein	Function Unknown
sps_RS23400	-2.45568	0.00007	-0.56528	0.80414	-3.02096	0.00000	SRPBCC family protein	Function Unknown
sps_RS08780	-1.13807	0.00226	-0.59766	0.35824	-1.73573	0.00000	fatty acid oxidation complex subunit alpha FadJ	Lipid metabolism
sps_RS07850	0.25096	0.64323	1.43400	0.00008	1.68496	0.00000	methyltransferase domain-containing protein	Coenzyme metabolism
sps_RS18495	1.37587	0.10560	0.74843	0.71610	2.12431	0.00464	DUF2802 domain-containing protein	Function Unknown
sps_RS08435	2.04964	0.00000	-0.79286	0.00673	1.25679	0.00000	cytotoxic necrotizing factor	Function Unknown
sps_RS26405	1.67158	0.00000	0.12467	0.93495	1.79625	0.00000	sporulation protein	Cell cycle control and mitosis
sps_RS11010	-0.38847	0.69170	-2.67240	0.00004	-3.06088	0.00000	hypothetical protein	NA
sps_RS14170	-0.37509	0.85586	2.55473	0.11662	2.17964	0.11034	pilus assembly protein	Function Unknown
sps_RS13780	0.35834	0.47881	2.32327	0.00000	2.68161	0.00000	phosphoadenylyl-sulfate reductase	Inorganic ion transport and metabolism
sps_RS18985	-2.25409	0.00000	-0.03984	0.98426	-2.29393	0.00000	malate synthase A	Energy production and conversion
sps_RS15790	-1.07397	0.00000	-0.05537	0.95648	-1.12934	0.00000	hypothetical protein	Function Unknown
sps_RS10660	-1.29673	0.00001	-0.12858	0.92001	-1.42532	0.00000	outer membrane lipoprotein-sorting protein	Function Unknown
sps_RS18940	-1.49061	0.00013	-0.34168	0.81588	-1.83229	0.00000	NrfJ	Function Unknown
sps_RS10625	-0.99367	0.05155	-1.14404	0.04410	-2.13771	0.00000	hypothetical protein	Function Unknown
sps_RS14785	1.86826	0.00000	-0.21894	0.88018	1.64932	0.00000	pseudouridine synthase	Translation
sps_RS13245	-1.13125	0.00539	-0.71144	0.30486	-1.84269	0.00000	hypothetical protein	Function Unknown
sps_RS11275	1.41133	0.00000	0.03559	0.97550	1.44692	0.00000	methyl-accepting chemotaxis protein	Signal Transduction
sps_RS09025	-1.31037	0.00428	-0.74639	0.35618	-2.05677	0.00000	peptidylprolyl isomerase	Post-translational modification, protein turnover, chaperone functions
sps_RS13785	-0.08218	0.91083	2.96752	0.00000	2.88534	0.00000	NADPH-dependent assimilatory sulfite reductase hemoprotein subunit	Inorganic ion transport and metabolism
sps_RS18775	1.49414	0.00002	0.15545	0.91748	1.64959	0.00000	hypothetical protein	Function Unknown
sps_RS20875	-1.03160	0.01439	-0.77160	0.20217	-1.80320	0.00000	thymidine phosphorylase	Nucleotide metabolism and transport
sps_RS18530	0.54945	0.03184	0.51430	0.10504	1.06375	0.00000	protein phosphatase CheZ	Signal Transduction
sps_RS18565	1.31609	0.00108	0.48406	0.59910	1.80015	0.00000	flagellar type III secretion system protein FliR	Cell motility
sps_RS00490	-1.03973	0.01612	-0.81256	0.19945	-1.85229	0.00000	flagellar hook protein FliD	Cell motility
sps_RS12070	-0.86850	0.01475	-0.63604	0.21485	-1.50453	0.00000	histidine kinase	Signal Transduction
sps_RS14135	-1.61887	0.01730	-1.24516	0.18682	-2.86403	0.00000	nitrate reductase catalytic subunit NapA	Energy production and conversion
sps_RS23415	-1.19563	0.03466	-1.14355	0.10757	-2.33919	0.00000	alkene reductase	Energy production and conversion
sps_RS25950	-1.13152	0.00026	-0.26359	0.82234	-1.39512	0.00000	LysR family transcriptional regulator	Transcription
sps_RS07855	0.21594	0.64142	1.15355	0.00026	1.36949	0.00000	8-amino-7-oxononanoate synthase	Coenzyme metabolism
sps_RS22185	-0.90846	0.02642	-0.81429	0.15260	-1.72275	0.00000	DUF4157 domain-containing protein	Function Unknown
sps_RS21765	0.62827	0.02516	0.50522	0.16879	1.13348	0.00000	sensor histidine kinase	Signal Transduction
sps_RS22400	1.57954	0.00000	0.01038	0.99328	1.58992	0.00000	phosphohydrolase	Signal Transduction
sps_RS00370	1.07295	0.00018	0.21440	0.84781	1.28735	0.00000	LysM peptidoglycan-binding domain-containing protein	Function Unknown
sps_RS14270	-1.20312	0.00085	-0.38926	0.70172	-1.59238	0.00000	16S rRNA (uracil(1498)-N(3))-methyltransferase	Function Unknown
sps_RS04270	-0.47612	0.45819	-1.61987	0.00123	-2.09599	0.00000	adenylosuccinate synthetase	Nucleotide metabolism and transport
sps_RS09075	2.81720	0.00000	-0.89595	0.14117	1.92125	0.00000	TonB-dependent receptor	Inorganic ion transport and metabolism
sps_RS15000	-2.01444	0.02862	-1.92711	0.12549	-3.94155	0.00000	phasin family protein	Function Unknown
sps_RS03810	-1.22999	0.00186	-0.48518	0.59910	-1.71517	0.00000	elongation factor P	Translation
sps_RS13790	-0.33110	0.64239	3.24736	0.00000	2.91626	0.00000	assimilatory sulfite reductase (NADPH) flavoprotein subunit	Inorganic ion transport and metabolism
sps_RS01540	1.77201	0.00716	1.17712	0.20610	2.94912	0.00000	MFS transporter	Inorganic ion transport and metabolism
sps_RS02605	-1.14716	0.00152	-0.42440	0.64569	-1.57156	0.00000	hypothetical protein	Carbohydrate metabolism and transport
sps_RS15345	-0.38284	0.62060	-1.94898	0.00041	-2.33182	0.00000	TetR family transcriptional regulator	Transcription
sps_RS03845	-1.51766	0.00005	-0.16650	0.91788	-1.68416	0.00000	alpha-D-glucose phosphate-specific phosphoglucomutase	Carbohydrate metabolism and transport
sps_RS11695	2.04992	0.00000	0.17056	0.92474	2.22048	0.00000	prepilin-type N-terminal cleavage/methylation domain-containing protein	Intracellular trafficking and secretion
sps_RS02170	-1.12898	0.00484	-0.56625	0.46136	-1.69523	0.00000	hypothetical protein	NA
sps_RS07010	0.80607	0.03942	0.74330	0.13325	1.54937	0.00000	YccF domain-containing protein	Function Unknown
sps_RS25150	0.33793	0.54923	1.40174	0.00085	1.73967	0.00000	hypothetical protein	Function Unknown
sps_RS14680	1.41055	0.00132	0.46771	0.68676	1.87826	0.00000	sulfate transporter	Inorganic ion transport and metabolism
sps_RS09825	-1.83173	0.00000	0.20483	0.90265	-1.62690	0.00001	GNAT family N-acetyltransferase	Function Unknown
sps_RS08925	1.57102	0.00872	-4.08291	0.00000	-2.51189	0.00001	NADP-dependent oxidoreductase	Function Unknown
sps_RS26345	1.50570	0.00000	-0.36796	0.48785	1.13774	0.00001	pilus (MSHA type) biogenesis protein MshL	Cell motility
sps_RS17675	-2.33215	0.00000	0.64675	0.35299	-1.68540	0.00001	TonB-dependent receptor	Inorganic ion transport and metabolism
sps_RS25850	-1.36240	0.00009	-0.14092	0.92521	-1.50331	0.00001	GMP synthase	Nucleotide metabolism and transport
sps_RS02470	-1.63839	0.00064	-0.41180	0.79743	-2.05019	0.00001	alkyl hydroperoxide reductase	Post-translational modification, protein turnover, chaperone functions
sps_RS05830	-2.40976	0.00001	0.10971	0.96671	-2.30005	0.00001	thiamine biosynthesis protein ThiS	Coenzyme metabolism
sps_RS26285	0.98718	0.01842	0.65710	0.30334	1.64429	0.00001	type II secretion system protein	Intracellular trafficking and secretion
sps_RS03745	1.25070	0.00632	0.61025	0.49898	1.86095	0.00001	isocitrate lyase	Energy production and conversion
sps_RS12650	0.24846	0.73200	1.68016	0.00039	1.92862	0.00001	DUF4442 domain-containing protein	Function Unknown
sps_RS21950	-1.64793	0.00132	-0.49532	0.75198	-2.14326	0.00001	alpha/beta hydrolase	Lipid metabolism
sps_RS10280	1.68118	0.00000	-0.21248	0.87751	1.46870	0.00001	TlpA family protein disulfide reductase	Post-translational modification, protein turnover, chaperone functions
sps_RS02930	0.82468	0.00069	0.18789	0.83608	1.01257	0.00001	bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL	Translation
sps_RS23650	0.76783	0.08560	0.81210	0.10925	1.57994	0.00001	haloacid dehalogenase type II	Function Unknown
sps_RS04175	0.16365	0.72453	-1.46456	0.00000	-1.30091	0.00001	hypothetical protein	Function Unknown
sps_RS06365	-0.60213	0.28009	-1.25312	0.01636	-1.85525	0.00002	methyltransferase	Function Unknown
sps_RS00465	-1.34100	0.01036	-0.73620	0.49703	-2.07720	0.00002	RNA polymerase sigma factor FliA	Transcription
sps_RS10565	0.57389	0.23469	1.02443	0.02663	1.59833	0.00002	N-acetyltransferase	Function Unknown
sps_RS18625	1.13919	0.00052	0.20696	0.87816	1.34615	0.00002	flagellar motor switch protein FliG	Cell motility
sps_RS25175	0.63253	0.24304	1.16093	0.02418	1.79345	0.00002	PspC domain-containing protein	NA
sps_RS01395	-1.46396	0.01491	-0.84688	0.42582	-2.31084	0.00002	cytochrome C	Energy production and conversion
sps_RS23935	-0.66153	0.10822	-0.80560	0.09335	-1.46713	0.00002	long-chain fatty acid--CoA ligase	Lipid metabolism
sps_RS26070	-1.63847	0.00080	-0.35729	0.85112	-1.99577	0.00002	formate--tetrahydrofolate ligase	Nucleotide metabolism and transport
sps_RS03425	1.73599	0.00000	-0.14556	0.92521	1.59043	0.00002	Na+/H+ antiporter NhaC	Energy production and conversion
sps_RS14615	-1.82387	0.00000	0.15933	0.92584	-1.66454	0.00002	type II secretion system protein F	Intracellular trafficking and secretion
sps_RS04810	-0.69810	0.09777	-0.80369	0.10757	-1.50179	0.00002	ATP-dependent protease	Post-translational modification, protein turnover, chaperone functions
sps_RS27585	-1.30296	0.01209	-0.70890	0.48314	-2.01185	0.00002	acyl-CoA thioesterase	Function Unknown
sps_RS00295	-0.97761	0.05195	-0.86940	0.20368	-1.84701	0.00002	acetyl-CoA C-acyltransferase FadA	Lipid metabolism
sps_RS02160	-1.37150	0.00037	-0.19979	0.90444	-1.57129	0.00002	elongation factor P-like protein YeiP	Translation
sps_RS18120	-1.32578	0.00029	-0.16402	0.91702	-1.48980	0.00003	LacI family DNA-binding transcriptional regulator	Transcription
sps_RS14505	-1.52801	0.00000	0.20874	0.88155	-1.31927	0.00003	LysR family transcriptional regulator	Transcription
sps_RS27525	-1.68825	0.00001	0.10506	0.94931	-1.58319	0.00003	AraC family transcriptional regulator	Transcription
sps_RS15290	1.33970	0.00000	-0.16046	0.89712	1.17924	0.00003	HlyD family type I secretion periplasmic adaptor subunit	Intracellular trafficking and secretion
sps_RS18720	1.50542	0.00012	0.09666	0.95141	1.60208	0.00003	flagellar hook protein FlgE	Cell motility
sps_RS05765	1.15279	0.00534	0.45227	0.65478	1.60506	0.00003	deoxyguanosine kinase	Signal Transduction
sps_RS07040	0.68253	0.19367	-2.43526	0.00000	-1.75273	0.00003	4-hydroxyphenylpyruvate dioxygenase	Coenzyme metabolism
sps_RS15560	1.20817	0.00029	0.14041	0.91954	1.34858	0.00003	LysR family transcriptional regulator	Transcription
sps_RS04515	-0.44669	0.31443	-0.96270	0.01736	-1.40940	0.00003	universal stress protein UspE	Signal Transduction
sps_RS15215	-0.91895	0.00346	-0.31307	0.72037	-1.23201	0.00003	uroporphyrinogen-III methylase	Coenzyme metabolism
sps_RS22930	-1.23698	0.00029	-0.13643	0.92474	-1.37342	0.00003	hypothetical protein	Replication and repair
sps_RS13730	-0.27376	0.65282	1.87491	0.00000	1.60115	0.00004	TIGR03899 family protein	Function Unknown
sps_RS02480	1.59759	0.00000	-0.41347	0.48938	1.18412	0.00004	OmpA family protein	Cell motility
sps_RS18560	0.77922	0.01246	0.38072	0.54996	1.15994	0.00004	flagellar biosynthesis protein FlhB	Cell motility
sps_RS16750	2.05095	0.00001	-0.11366	0.95345	1.93729	0.00004	group II intron reverse transcriptase/maturase	Replication and repair
sps_RS11700	2.44682	0.00000	0.17394	0.93343	2.62076	0.00000	type IV pilus modification protein PilV	Intracellular trafficking and secretion
sps_RS12775	-1.37867	0.02721	-0.89655	0.39556	-2.27522	0.00004	ammonia-forming cytochrome c nitrite reductase	Energy production and conversion
sps_RS14035	1.63546	0.00093	0.30383	0.88155	1.93928	0.00004	DNA-binding response regulator	Transcription
sps_RS26680	-3.11191	0.00000	0.46010	0.87155	-2.65181	0.00004	acetylglutamate kinase	Amino Acid metabolis and transport
sps_RS24000	0.88249	0.12228	1.02420	0.12215	1.90669	0.00004	recombinase family protein	Replication and repair
sps_RS06385	-1.25256	0.00641	-0.49335	0.69465	-1.74591	0.00004	GMP synthase	Nucleotide metabolism and transport
sps_RS05845	-0.61082	0.05953	-0.53380	0.24643	-1.14462	0.00005	phosphomethylpyrimidine synthase ThiC	Coenzyme metabolism
sps_RS06945	-0.20624	0.66859	-1.06038	0.00207	-1.26662	0.00005	bifunctional UDP-sugar hydrolase/5'-nucleotidase	Nucleotide metabolism and transport
sps_RS27600	-0.31313	0.67939	-1.67005	0.00190	-1.98318	0.00005	long-chain fatty acid--CoA ligase	Lipid metabolism
sps_RS13165	-0.76724	0.07805	-0.75493	0.20463	-1.52217	0.00005	PKD domain-containing protein	Amino Acid metabolis and transport
sps_RS13815	-1.45054	0.00440	-0.48533	0.73985	-1.93587	0.00005	TetR/AcrR family transcriptional regulator	Transcription
sps_RS21160	-0.96550	0.00445	-0.32130	0.75421	-1.28679	0.00005	LysR family transcriptional regulator	Transcription
sps_RS09455	0.91188	0.00119	0.17504	0.87784	1.08692	0.00005	hypothetical protein	Function Unknown
sps_RS18510	0.57009	0.02889	0.36463	0.40755	0.93472	0.00005	ParA family protein	Cell cycle control and mitosis
sps_RS05220	1.67729	0.00001	-0.11482	0.94151	1.56248	0.00005	AcrB/AcrD/AcrF family protein	Inorganic ion transport and metabolism
sps_RS06170	-1.11728	0.02027	-0.63813	0.48403	-1.75541	0.00005	D-alanine--D-alanine ligase	Cell wall/membrane/envelop biogenesis
sps_RS26360	1.50186	0.00000	-0.34791	0.60976	1.15396	0.00005	fimbrial assembly protein	Function Unknown
