DeltaG_Variability	ID	lower_4	upper_4	range_4	lower_15	upper_15	range_15	lower_20	upper_20	range_20	four_fifteen	four_twenty	fifteen_twenty
DeltaG_Variability	AACPS3	-27.38167214666453	28.86811079533326	56.249782942	-29.46718685571128	27.899930096823713	57.3671169525	-30.415148087096192	29.2405340177725	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS4	-98.16081449886453	-41.911031556866746	56.249782942	-100.24632920791127	-42.879212255376274	57.3671169525	-101.1942904392962	-41.538608334427494	59.6556821049	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AACPS5	-113.19562701746452	-56.945844075466724	56.249782942	-115.28114172651127	-57.91402477397628	57.3671169525	-116.22910295789617	-56.5734208530275	59.6556821049	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AACPS6	-19.864265887364525	36.38551705463326	56.249782942	-21.949780596411273	35.41733635612371	57.3671169525	-22.89774182779619	36.75794027707251	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS7	-34.89907840596453	21.35070453603326	56.249782942	-36.98459311501128	20.38252383752372	57.3671169525	-37.932554346396195	21.723127758472504	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS8	-42.41648466526452	13.833298276733256	56.249782942	-44.50199937431128	12.865117578223725	57.3671169525	-45.44996060569618	14.205721499172508	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPS9	-5.135437572564527	51.11434536943326	56.249782942	-7.220952281611279	50.14616467092371	57.3671169525	-8.168913512996191	51.48676859187252	59.6556821049	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPSFA130OH	154.02873834433544	210.27852128633327	56.249782942	151.94322363528866	209.31034058782373	57.3671169525	150.9952624039038	210.6509445087725	59.6556821049	15CL < 04CL | 15CU < 04CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AACPSFA1718	-105.67803874316452	-49.42825580116673	56.249782942	-107.76355345221127	-50.396436499676284	57.3671169525	-108.71151468359619	-49.05583257872748	59.6556821049	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AACPSFA1817	-113.19673768586452	-56.946954743866726	56.249782942	-115.28225239491127	-57.91513544237628	57.3671169525	-116.23021362629618	-56.57453152142748	59.6556821049	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ABTA	-4.29363738522631	43.06255137679302	47.356188762	-13.35631890401163	44.45289451615752	57.8092134202	-14.926933679459523	45.08486867041412	60.0118023499	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACACCB	-51.7833	8.0199	59.8032	-45.3486	9.4102	54.7588	-46.8413	10.0422	56.8835	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 04CU < 20CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACACCT	-27.845095398283025	42.21555634260302	70.0606517409	-29.23544153764752	34.73589313925403	63.9713346769	-29.867415691904114	36.401782738930656	66.2691984308	04CL < 15CL | 15CU < 04CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACACT10R	-51.86859756626454	7.934547476043015	59.8031450423	-45.4339478874292	9.324890615407522	54.7588385028	-46.92662445125734	9.956864769664122	56.8834892209	15CL < 04CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 04CU < 20CU | 20CR < 04CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACACt2	-22.8212	17.5152	40.3364	-23.7269	19.5957	43.3226	-24.1387	20.6633	44.802	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACALDi	-13.85096248776734	24.24685888799453	38.0978213758	-14.263306934446614	22.412357350693377	36.6756642851	-14.450736228391744	24.154924571399672	38.6056607998	04CL < 15CL | 15CU < 04CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACBIPGT	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	ACCOAC	-653.3880695586646	-580.5406004696946	72.847469089	-641.153346432307	-576.875643350406	64.2777030819	-642.5613293726901	-575.2097532507299	67.351576122	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACCOAL	-36.52067722215607	26.069282168235482	62.5899593904	-24.98112566572047	29.734239287524026	54.7153649532	-26.70509568299227	31.400128887200665	58.1052245702	15CL < 04CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 04CU < 20CU | 20CR < 04CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACGAMK	-41.915565211636185	-1.0000000010279564e-06	41.9155642116	-41.84425091181764	-9.999999974752427e-07	41.8442499118	-43.75346183445768	-1.0000000010279564e-06	43.7534608345	15CL < 04CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 04CU == 20CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACGAt2	-19.626666031467053	-9.999999974752427e-07	19.6266650315	-20.405642572495864	-9.999999974752427e-07	20.4056415725	-20.759722818418062	-9.999999974752427e-07	20.7597218184	04CL < 15CL | 04CU == 15CU | 04CR < 15CR	04CL < 20CL | 04CU == 20CU | 04CR < 20CR	15CL < 20CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ACGK	-11.824248348343016	-9.999999761589606e-07	11.8242473483	-11.879723259699137	-9.99999993922529e-07	11.8797222597	-13.84656564196412	-9.99999983264388e-07	13.846564642	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACGS	-51.95567528086455	-12.04887005284765	39.906805228	-52.706321761902956	-5.354317362730793	47.3520043992	-54.9891512212962	-3.8616407989026484	51.1275104224	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACHBS	-72.58725492474302	-2.52660218385698	70.0606527409	-73.97759806410751	-1.1362590444924763	72.8413390196	-74.60957421836412	-0.5042848902358799	74.1052893281	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACKr	-25.5324	-0.0	25.5324	-25.3959	-0.0	25.3959	-26.2242	-0.0	26.2242	04CL < 15CL | 04CU == 15CU | 15CR < 04CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ACLS	-77.57848498524302	-7.5178322443569865	70.0606527409	-78.96882812460751	-6.127489104992485	72.8413390196	-79.60080427886412	-5.495514950735881	74.1052893281	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACMAT1	-49.30282406130651	32.6190166540338	81.9218407153	-51.74612880749582	30.492580541348534	82.2387093488	-52.856723873945526	33.719362749178295	86.5760866231	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACNAMS	-100.41586722924302	-37.328311312371966	63.0875559169	-83.15557086059145	-34.1898349965004	48.9657358641	-84.08957268528259	-32.763254852922415	51.3263178324	04CL < 15CL | 15CU < 04CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACOAD10	21.3352	66.7813	45.4461	18.575	58.304	39.729	17.3204	59.5679	42.2475	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACOAD8	21.335158637345206	66.78127160124302	45.4461129639	18.57497770080254	58.30398406610507	39.7290063653	17.320350002722535	59.56793237461827	42.2475823719	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACOAD9	30.5382	75.9843	45.4461	27.778	67.507	39.729	26.5234	68.771	42.2476	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACOATA	-39.0692	20.7339	59.8031	-40.4595	14.2993	54.7588	-41.0915	15.792	56.8835	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACODA	-51.697868930175005	-9.999999974752427e-07	51.6978679302	-53.446005606682064	-9.999999974752427e-07	53.4460046067	-54.24061159600346	-9.999999974752427e-07	54.240610596	04CL < 15CL | 04CU == 15CU | 04CR < 15CR	04CL < 20CL | 04CU == 20CU | 04CR < 20CR	15CL < 20CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ACONT	-9.6076	-0.0	9.6076	-10.3027	-0.0	10.3027	-10.6187	-0.0	10.6187	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ACOTA	0.0	28.1356	28.1356	0.0	29.5259	29.5259	0.0	30.1579	30.1579	04CL == 15CL | 04CU < 15CU | 04CR < 15CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ACPS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	ACPSc	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	ACS	-52.81533484828604	-6.823064604866733	45.9922702434	-36.99607489797775	-7.7912423032564995	29.2048325947	-38.26466150299156	-6.450638382427492	31.8140231206	15CL < 04CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ACt6	0.0	17.5152	17.5152	0.0	19.5957	19.5957	0.0	20.6633	20.6633	04CL == 15CL | 04CU < 15CU | 04CR < 15CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADA	-43.08249921469152	-13.296838755251745	29.7856604594	-41.61670134532919	-12.979962565137981	28.6367387802	-44.46986163248517	-12.835927933268088	31.6339336992	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADCL	-145.95673354739142	-100.31278010305748	45.6439534443	-148.181396578073	-100.72584837318459	47.4555482049	-149.19260704656466	-100.91360667778784	48.2790003688	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADCOBAK	NA	NA	NA	NA	NA	NA	NA	NA	NA	No Comparison	No Comparison	No Comparison
DeltaG_Variability	ADCOBAS	-142.75943027719157	-76.81521999123171	65.944210286	-130.7712467871664	-73.67079128983194	57.1004554973	-132.29129319826117	-72.24150478924872	60.049788409	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADCOBHEXS	-1000.0	-796.9808239900104	203.01917601	-1000.0	-785.8376683704753	214.16233163	-1000.0	-782.0553760196397	217.94462398	04CL == 15CL | 15CU < 04CU | 04CR < 15CR	04CL == 20CL | 20CU < 04CU | 04CR < 20CR	15CL == 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADCS	-46.528316705997824	-1.00000000458067e-06	46.528315706	-52.03174103054753	-1.0000000010279564e-06	52.0317400305	-52.66371518480413	-9.99999993922529e-07	52.6637141848	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADHMCYSSYN	-8.566205887884994	-1.0000000010279564e-06	8.56620488788	-10.314339064392062	-9.99999993922529e-07	10.3143380644	-11.108945053713462	-9.999999974752427e-07	11.1089440537	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADK1	-19.5198	-0.0	19.5198	-17.1295	-0.0	17.1295	-20.351	-0.0	20.351	04CL < 15CL | 04CU == 15CU | 15CR < 04CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ADK3	-19.5198	25.3731	44.8929	-17.1295	26.4158	43.5453	-20.351	26.8898	47.2408	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADK4	-17.2786	27.7196	44.9982	-16.2231	28.7623	44.9854	-18.1097	29.2363	47.346	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADMDC	-424.0064	-378.434	45.5724	-417.8256	-378.0966	39.729	-420.1908	-377.9433	42.2475	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 04CU < 20CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADNCYC	-73.87152105398502	-52.65206548243022	21.2194555716	-75.61965423073168	-55.75515104796061	19.8645031828	-76.41426021981349	-55.29046903386562	21.1237911859	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 04CU < 20CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADNK1	-35.223408126756496	-14.837266951779124	20.386141175	-33.1355742505775	-13.920809909248163	19.2147643413	-35.816782092475066	-12.613895497831628	23.2028865946	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADNt2	-22.82117883847424	8.566203887884996	31.3873827264	-23.726944590677725	10.101519427471665	33.8284640181	-24.1386562962249	11.647754799141516	35.7864110954	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADPRDP	-38.941	-11.9587	26.9823	-40.6891	-10.5684	30.1207	-41.4837	-9.9364	31.5473	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ADPT	-51.417012597943014	-12.682393341166733	38.7346192568	-52.80735573730752	-13.650574039676282	39.1567816976	-53.43932989156412	-12.309970118727499	41.1293597728	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADSK	-82.50244393964304	-36.06793362599261	46.4345103137	-82.55791885099919	-36.20443819028647	46.3534806607	-84.52476123326412	-35.376142691306775	49.148618542	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	ADSL1r	-0.4158	-0.0	0.4158	-2.1639	-0.0	2.1639	-2.9585	-0.0	2.9585	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ADSL2r	-7.8843	-0.0	7.8843	-9.6324	-0.0	9.6324	-10.427	-0.0	10.427	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	ADSS	-63.595682270739026	-9.999999956988859e-07	63.5956812707	-52.413920751206426	-9.999999974752427e-07	52.4139197512	-54.300522603782596	-9.99999993922529e-07	54.3005216038	15CL < 04CL | 04CU < 15CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AEPPAT	-36.5741	30.0923	66.6664	-41.2107	31.4826	72.6933	-41.8427	32.1146	73.9573	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AGDC	-44.50194914987502	-9.999999974752427e-07	44.5019481499	-46.25008532638208	-9.999999974752427e-07	46.2500843264	-47.044691315703474	-9.999999992515995e-07	47.0446903157	04CL < 15CL | 04CU == 15CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AGMAHYD	-95.407286019485	-42.86179696382044	52.5454890557	-97.15541919599207	-42.52441543128076	54.6310037647	-97.95002518531348	-42.37106018921728	55.5789649961	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AGPEPHOS	-306.521191195085	-253.97570313942052	52.5454880557	-308.2693273715921	-253.63832160688077	54.6310057647	-309.0639333609135	-253.4849663648173	55.5789669961	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AGPR	4.4515	67.1049	62.6534	1.1443	41.7299	40.5856	0.0	42.5533	42.5533	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AHAI	-47.02909992064302	-9.999999974752427e-07	47.0290989206	-37.53450923232241	-9.999999974752427e-07	37.5345082323	-38.98990679767312	-9.999999974752427e-07	38.9899057977	15CL < 04CL | 04CU == 15CU | 15CR < 04CR	20CL < 04CL | 04CU == 20CU | 20CR < 04CR	15CL < 20CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	AHCYSNS	-60.699711818485	-17.103179560156985	43.5965322583	-62.44784499499205	-15.712836420792474	46.7350085742	-63.242450984313464	-15.080862266535881	48.1615887178	04CL < 15CL | 15CU < 04CU | 04CR < 15CR	04CL < 20CL | 20CU < 04CU | 04CR < 20CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AICART	-12.5319	-0.0	12.5319	-17.0402	-0.0	17.0402	-19.0894	-0.0	19.0894	15CL < 04CL | 04CU == 15CU | 04CR < 15CR	20CL < 04CL | 04CU == 20CU | 04CR < 20CR	20CL < 15CL | 15CU == 20CU | 15CR < 20CR
DeltaG_Variability	AIRC2	-642.9146004096646	-570.0671308208102	72.8474695889	-630.6798772835465	-566.4021737014065	64.2777035821	-632.0878602236901	-564.7362841017299	67.351576122	15CL < 04CL | 15CU < 04CU | 15CR < 04CR	20CL < 04CL | 20CU < 04CU | 20CR < 04CR	15CL < 20CL | 20CU < 15CU | 15CR < 20CR
DeltaG_Variability	AIRC3	13.5964	48.6268	35.0304	12.9013	49.3219	36.4206	12.5853	49.6379	37.0526	15CL < 04CL | 04CU < 15CU | 04CR < 15CR	20CL < 04CL | 04CU < 20CU | 04CR < 20CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	AKGD	-34.84826270783111	12.66619994906453	47.5144626569	-43.25214516115763	4.8840839836088215	48.1362291448	-44.822761936605524	6.464019369250323	51.2867813059	04CL < 15CL | 04CU < 15CU | 04CR < 15CR	04CL < 20CL | 04CU < 20CU | 04CR < 20CR	15CL < 20CL | 15CU < 20CU | 15CR < 20CR
DeltaG_Variability	ALAALA	-84.3679	-11.8165	72.5514	-72.1332	-8.1515	63.9817	-73.5412	-6.4856	67.0556	04CL < 15CL | 04CU < 15CU | 15CR < 04CR	04CL < 20CL | 04CU < 20CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
